filename,timestamp,latitude,longitude,distance_to_node_m,node_index,speed_mps,heading_deg,label
frame_1_lat--6.093874833333333_lon--49.847083700000006.png,20250810_115055_149821,-6.093874833333333,-49.847083700000006,11.27,5,6.26,11.51,intersection
frame_2_lat--6.0938653333333335_lon--49.847065900000004.png,20250810_115058_120957,-6.0938653333333335,-49.8470659,9.04,5,6.95,10.97,intersection
frame_3_lat--6.093854333333334_lon--49.84704876666666.png,20250810_115101_147788,-6.093854333333334,-49.84704876666666,6.79,5,7.27,10.06,intersection
frame_4_lat--6.0938422_lon--49.847036333333335.png,20250810_115103_166900,-6.0938422,-49.847036333333335,4.94,5,10.21,8.03,intersection
frame_5_lat--6.0938202666666665_lon--49.84702466666666.png,20250810_115105_183992,-6.0938202666666665,-49.84702466666666,3.19,5,12.96,4.64,intersection
frame_6_lat--6.0938059_lon--49.84702116666667.png,20250810_115106_237443,-6.0938059,-49.84702116666667,3.37,5,0.0,0.0,intersection
frame_7_lat--6.0937897_lon--49.84702.png,20250810_115107_296691,-6.0937897,-49.84702,4.54,5,0.0,0.0,intersection
frame_8_lat--6.093772433333334_lon--49.84702113333334.png,20250810_115108_240692,-6.093772433333334,-49.84702113333334,6.25,5,0.0,0.0,intersection
frame_9_lat--6.093755799999999_lon--49.8470241.png,20250810_115109_312660,-6.093755799999999,-49.8470241,8.06,5,0.0,0.0,intersection
frame_10_lat--6.093740733333334_lon--49.847028333333334.png,20250810_115110_257444,-6.093740733333334,-49.84702833333333,9.78,5,0.0,0.0,intersection
frame_11_lat--6.093726566666668_lon--49.847033499999995.png,20250810_115111_231552,-6.093726566666668,-49.8470335,11.44,5,0.0,0.0,intersection
frame_12_lat--6.093711233333333_lon--49.8470397.png,20250810_115112_277982,-6.093711233333333,-49.8470397,13.27,5,0.0,0.0,intersection
frame_13_lat--6.0936932666666666_lon--49.847046999999996.png,20250810_115113_242190,-6.0936932666666666,-49.847047,15.42,5,0.0,0.0,intersection
frame_14_lat--6.093672866666667_lon--49.847055166666664.png,20250810_115114_310298,-6.093672866666667,-49.84705516666666,17.85,5,0.0,0.0,intersection
frame_15_lat--6.0936511_lon--49.847063866666666.png,20250810_115115_249958,-6.0936511,-49.847063866666666,20.44,5,0.0,0.0,intersection
frame_16_lat--6.093628333333333_lon--49.847073200000004.png,20250810_115116_265817,-6.093628333333333,-49.8470732,23.16,5,0.0,0.0,straight
frame_17_lat--6.093604466666667_lon--49.8470832.png,20250810_115117_240112,-6.093604466666667,-49.8470832,26.02,5,0.0,0.0,straight
frame_18_lat--6.093579933333333_lon--49.8470938.png,20250810_115118_266036,-6.093579933333333,-49.8470938,28.98,5,0.0,0.0,straight
frame_19_lat--6.093554966666667_lon--49.847105033333335.png,20250810_115119_245019,-6.093554966666667,-49.847105033333335,32.0,5,0.0,0.0,straight
frame_20_lat--6.093529566666667_lon--49.84711683333334.png,20250810_115120_298335,-6.093529566666667,-49.84711683333334,31.72,4,0.0,0.0,straight
frame_21_lat--6.0935035666666675_lon--49.847128866666665.png,20250810_115121_251549,-6.093503566666668,-49.847128866666665,28.61,4,0.0,0.0,straight
frame_22_lat--6.093477266666667_lon--49.847140833333334.png,20250810_115122_223959,-6.093477266666667,-49.84714083333333,25.48,4,0.0,0.0,straight
frame_23_lat--6.093450966666667_lon--49.84715223333333.png,20250810_115123_256179,-6.093450966666667,-49.84715223333333,22.38,4,0.0,0.0,intersection
frame_24_lat--6.093426766666666_lon--49.84716193333334.png,20250810_115124_226640,-6.093426766666666,-49.84716193333334,19.56,4,0.0,0.0,intersection
frame_25_lat--6.093406399999999_lon--49.847169466666664.png,20250810_115125_268579,-6.093406399999999,-49.84716946666666,17.21,4,0.0,0.0,intersection
frame_26_lat--6.0933891666666655_lon--49.84717566666667.png,20250810_115126_245238,-6.0933891666666655,-49.84717566666667,15.24,4,0.0,0.0,intersection
frame_27_lat--6.093373033333333_lon--49.84718150000001.png,20250810_115127_213903,-6.093373033333333,-49.84718150000001,13.41,4,0.0,0.0,intersection
frame_28_lat--6.093357800000001_lon--49.84718680000001.png,20250810_115128_251950,-6.093357800000001,-49.84718680000001,11.7,4,0.0,0.0,intersection
frame_29_lat--6.093343033333333_lon--49.84719163333333.png,20250810_115129_211435,-6.093343033333333,-49.84719163333333,10.07,4,0.0,0.0,intersection
frame_30_lat--6.093326633333334_lon--49.847196800000006.png,20250810_115130_249831,-6.093326633333334,-49.847196800000006,8.3,4,0.0,0.0,intersection
frame_31_lat--6.093305933333333_lon--49.84720333333333.png,20250810_115131_297652,-6.093305933333333,-49.84720333333333,6.17,4,0.0,0.0,intersection
frame_32_lat--6.0932800333333335_lon--49.8472114.png,20250810_115132_251511,-6.0932800333333335,-49.8472114,3.97,4,0.0,0.0,intersection
frame_33_lat--6.093250866666667_lon--49.8472204.png,20250810_115133_226649,-6.093250866666667,-49.8472204,3.48,4,0.0,0.0,intersection
frame_34_lat--6.0932210000000016_lon--49.847229633333335.png,20250810_115134_266528,-6.0932210000000016,-49.847229633333335,5.66,4,0.0,0.0,intersection
frame_35_lat--6.093190733333334_lon--49.847239033333324.png,20250810_115135_240648,-6.093190733333334,-49.84723903333333,8.75,4,0.0,0.0,intersection
frame_36_lat--6.093158666666666_lon--49.847249.png,20250810_115136_295856,-6.093158666666666,-49.847249,12.27,4,0.0,0.0,intersection
frame_37_lat--6.093124633333334_lon--49.847259400000006.png,20250810_115137_253526,-6.093124633333334,-49.847259400000006,16.1,4,0.0,0.0,intersection
frame_38_lat--6.0930901_lon--49.84726966666666.png,20250810_115138_229219,-6.0930901,-49.84726966666666,20.01,4,0.0,0.0,intersection
frame_39_lat--6.093056066666667_lon--49.84727963333333.png,20250810_115139_266643,-6.093056066666667,-49.84727963333333,23.88,4,0.0,0.0,straight
frame_40_lat--6.093022_lon--49.847289266666664.png,20250810_115140_242316,-6.093022,-49.84728926666666,27.75,4,0.0,0.0,straight
frame_41_lat--6.092986633333334_lon--49.84729883333333.png,20250810_115141_263327,-6.092986633333334,-49.84729883333333,31.76,4,0.0,0.0,straight
frame_42_lat--6.092949433333333_lon--49.84730856666667.png,20250810_115142_237092,-6.092949433333333,-49.84730856666667,35.98,4,0.0,0.0,straight
frame_43_lat--6.0929109666666665_lon--49.84731823333334.png,20250810_115143_263182,-6.0929109666666665,-49.84731823333334,40.34,4,0.0,0.0,straight
frame_44_lat--6.092871966666666_lon--49.847327366666676.png,20250810_115144_237906,-6.092871966666666,-49.84732736666668,44.73,4,0.0,0.0,straight
frame_45_lat--6.092833033333332_lon--49.84733583333333.png,20250810_115145_309128,-6.092833033333332,-49.84733583333333,49.1,4,0.0,0.0,straight
frame_46_lat--6.092795266666667_lon--49.847343666666674.png,20250810_115146_255370,-6.092795266666667,-49.847343666666674,53.33,4,0.0,0.0,straight
